Neighbourhood_ID,Neighbourhood,PopulationCount,PopulationDensity_Per_SqKM,PopulationCount_0_14,PopulationCount_15_24,PopulationCount_25_54,PopulationCount_55_64,PopulationCount_65+,Percentage of residents do not speak English or French,Percentage of residents whose mother tongue is not English or French,Percentage of residents who do not speak offical languages at home,Percentage of residents with totoal income of $150K and over,Percentage of Household Income of Over $200K,Percentage of Non Canadian Citizen,Percentage of visible minority,Percentage with no certificate/diploma/degree,Percentage with  Bachelor degree or above,UnemploymentRate,Percentage of Movers (mobility status 1 year ago),Percentage of Movers (mobility status 5 year ago),Latitude,Longitude,No. of Robberies in 2014,No. of Robberies in 2015,No. of Robberies in 2016,No. of Robberies in 2017,No. of Robberies in 2018,No. of Robberies (2014-2018)
1,West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,0.04,0.49,0.35,0.00,0.03,0.17,0.82,0.21,0.22,0.10,0.12,0.35,43.70,-79.58,75,64,74,93,69,376
2,Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,0.08,0.55,0.45,0.00,0.01,0.24,0.87,0.31,0.17,0.12,0.12,0.38,43.75,-79.58,77,108,114,88,73,460
3,Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,0.05,0.51,0.36,0.01,0.04,0.15,0.64,0.25,0.20,0.10,0.08,0.26,43.74,-79.56,22,26,21,23,11,103
4,Rexdale-Kipling,10529,4229,1640,1355,4300,1520,1730,0.03,0.41,0.25,0.01,0.03,0.11,0.52,0.23,0.19,0.11,0.09,0.33,43.73,-79.57,12,15,16,32,25,100
5,Elms-Old Rexdale,9456,3306,1805,1440,3700,1255,1275,0.03,0.43,0.27,0.00,0.02,0.11,0.67,0.25,0.15,0.10,0.11,0.33,43.72,-79.55,18,11,23,26,15,93
6,Kingsview Village-The Westway,22000,4356,4240,3020,8635,2550,3585,0.04,0.50,0.33,0.01,0.04,0.15,0.60,0.24,0.21,0.10,0.12,0.38,43.70,-79.55,18,32,27,14,18,109
7,Willowridge-Martingrove-Richview,22156,4007,3555,2625,8140,2905,4905,0.03,0.43,0.23,0.03,0.08,0.10,0.40,0.19,0.28,0.09,0.10,0.34,43.68,-79.56,34,16,62,23,16,151
8,Humber Heights-Westmount,10948,3981,1450,1140,3790,1510,3045,0.03,0.51,0.28,0.03,0.08,0.08,0.27,0.18,0.27,0.07,0.08,0.28,43.69,-79.52,13,10,13,5,6,47
9,Edenbridge-Humber Valley,15535,2840,2120,1805,5940,2385,3290,0.02,0.42,0.21,0.10,0.21,0.08,0.21,0.13,0.40,0.06,0.12,0.35,43.67,-79.52,7,5,3,4,7,26
10,Princess-Rosethorn,11051,2138,1770,1580,3825,1855,2025,0.02,0.33,0.14,0.14,0.33,0.06,0.19,0.10,0.48,0.06,0.07,0.28,43.66,-79.54,4,3,25,4,2,38
11,Eringate-Centennial_West Deane,18588,2171,2635,2405,6910,2855,3765,0.02,0.44,0.25,0.02,0.09,0.05,0.28,0.15,0.31,0.07,0.09,0.24,43.66,-79.58,20,20,15,18,14,87
12,Markland Wood,10554,3614,1340,1165,3600,1735,2705,0.02,0.40,0.22,0.06,0.13,0.06,0.13,0.12,0.39,0.06,0.09,0.31,43.63,-79.57,5,2,10,8,2,27
13,Etobicoke West Mall,11848,6582,1695,1460,5025,1600,2060,0.04,0.49,0.32,0.01,0.03,0.14,0.39,0.18,0.28,0.08,0.13,0.38,43.64,-79.57,9,5,4,5,3,26
14,Islington-City Centre West,43965,2712,5820,4695,20640,5400,7405,0.03,0.46,0.27,0.04,0.09,0.12,0.37,0.12,0.41,0.07,0.15,0.46,43.63,-79.55,34,36,37,67,33,207
15,Kingsway South,9271,3593,1580,1100,3245,1345,1995,0.00,0.21,0.06,0.21,0.39,0.03,0.12,0.07,0.59,0.08,0.13,0.33,43.65,-79.51,17,21,12,13,16,79
16,Stonegate-Queensway,25051,3199,4060,2495,10660,3660,4165,0.02,0.37,0.19,0.08,0.17,0.08,0.19,0.13,0.41,0.07,0.10,0.32,43.64,-79.50,14,10,13,25,26,88
17,Mimico,33964,4915,3505,3010,17695,4620,5160,0.03,0.38,0.19,0.04,0.07,0.12,0.31,0.12,0.39,0.06,0.22,0.54,43.62,-79.49,9,24,12,22,28,95
18,New Toronto,11463,3342,1610,1390,5215,1580,1525,0.03,0.31,0.16,0.02,0.04,0.11,0.32,0.17,0.29,0.09,0.13,0.38,43.59,-79.51,21,16,19,27,20,103
19,Long Branch,10084,4584,1335,1130,4705,1520,1405,0.02,0.31,0.16,0.03,0.06,0.09,0.23,0.15,0.30,0.07,0.15,0.45,43.59,-79.53,12,14,5,9,10,50
20,Alderwood,12054,2435,1760,1235,5220,1825,2015,0.02,0.35,0.18,0.02,0.08,0.05,0.21,0.20,0.22,0.06,0.08,0.28,43.61,-79.54,5,6,11,6,8,36
21,Humber Summit,12416,1570,2155,1720,4855,1315,2380,0.08,0.58,0.45,0.00,0.03,0.15,0.66,0.34,0.14,0.10,0.09,0.30,43.76,-79.57,29,38,34,36,42,179
22,Humbermede,15545,3565,2945,2225,6445,1760,2160,0.07,0.54,0.41,0.00,0.02,0.19,0.77,0.29,0.16,0.10,0.13,0.37,43.74,-79.55,22,12,18,27,17,97
23,Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,0.05,0.47,0.27,0.01,0.05,0.08,0.44,0.25,0.18,0.06,0.08,0.35,43.72,-79.53,12,25,14,21,19,91
24,Black Creek,21737,6282,4600,3290,8525,2425,2870,0.08,0.47,0.38,0.00,0.01,0.19,0.81,0.38,0.09,0.13,0.11,0.34,43.77,-79.51,58,45,49,60,40,252
25,Glenfield-Jane Heights,30491,5864,5790,4520,11590,3605,5005,0.09,0.50,0.38,0.00,0.01,0.15,0.77,0.39,0.09,0.12,0.08,0.30,43.75,-79.51,34,40,61,42,39,216
26,Downsview-Roding-CFB,35052,2337,5725,4340,15045,4380,5535,0.06,0.52,0.35,0.01,0.03,0.18,0.57,0.29,0.15,0.08,0.12,0.36,43.73,-79.50,62,62,47,62,64,299
27,York University Heights,27593,2086,4045,4750,12290,2965,3530,0.05,0.53,0.38,0.00,0.02,0.22,0.69,0.22,0.24,0.11,0.15,0.44,43.76,-79.50,60,84,66,75,85,370
28,Rustic,9941,4734,1940,1405,3615,1115,1865,0.05,0.46,0.31,0.01,0.03,0.11,0.60,0.33,0.10,0.09,0.08,0.27,43.71,-79.50,17,21,15,13,17,83
29,Maple Leaf,10111,4012,1500,1265,4110,1205,2030,0.06,0.56,0.37,0.01,0.06,0.17,0.44,0.29,0.19,0.08,0.10,0.32,43.72,-79.49,16,6,14,4,9,49
30,Brookhaven-Amesbury,17757,5045,3360,2460,7625,2185,2130,0.05,0.48,0.34,0.01,0.02,0.17,0.66,0.30,0.13,0.10,0.09,0.34,43.70,-79.48,24,16,20,17,16,93
31,Yorkdale-Glen Park,14804,2451,1960,1870,5860,1810,3295,0.06,0.53,0.33,0.02,0.06,0.13,0.45,0.29,0.20,0.08,0.11,0.32,43.72,-79.45,23,21,24,34,44,146
32,Englemount-Lawrence,22372,6466,4805,3030,8385,2430,3725,0.02,0.37,0.21,0.05,0.09,0.16,0.41,0.16,0.34,0.09,0.11,0.38,43.72,-79.44,27,12,35,21,10,105
33,Clanton Park,16472,3979,2765,1910,7470,1935,2375,0.03,0.42,0.24,0.05,0.11,0.16,0.38,0.13,0.39,0.06,0.15,0.41,43.74,-79.45,7,9,3,12,10,41
34,Bathurst Manor,15873,3377,2325,1940,6655,2030,2940,0.05,0.52,0.32,0.03,0.09,0.16,0.35,0.13,0.38,0.07,0.13,0.40,43.77,-79.46,10,10,16,17,16,69
35,Westminster-Branson,26274,7339,3440,3355,10865,3500,5130,0.06,0.66,0.51,0.01,0.03,0.25,0.45,0.12,0.37,0.09,0.14,0.45,43.78,-79.46,11,4,8,12,15,50
